CropID,Crop,Alluvial/Loam,Alluvial/SiltLoam,Alluvial/ClayLoam,Alluvial/SandyLoam,Black/Clay,Black/ClayLoam,Black/SiltClay,RedAndYellow/SandyLoam,RedAndYellow/Loam,RedAndYellow/ClayLoam,Laterite/Loam,Laterite/ClayLoam,Laterite/SandyClayLoam,Arid/Sandy,Arid/LoamySand,Arid/SandyLoam,ForestMount/Loam,ForestMount/SiltLoam,ForestMount/ClayLoam,Coastal/Sandy,Saline-Alkali/ClayLoam
CRP0001,Paddy,P,P,P,H,M,M,M,T,T,T,M,M,M,T,T,T,M,M,M,T,M
CRP0002,Maize,H,H,M,P,M,M,M,H,P,H,M,M,M,M,H,H,M,H,M,M,M
CRP0003,Jowar,M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0004,Bajra,M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0005,Ragi,M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0006,Wheat,P,P,P,H,P,P,P,S,M,M,U,U,T,T,U,T,S,S,S,T,S
CRP0007,Foxtail Millet (Korralu),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0008,Little Millet (Samalu),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0009,Barnyard Millet (Udalu),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0010,Proso Millet (Varigalu),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0011,Kodo Millet (Paspalum scrobiculatum),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0012,Browntop Millet (Urochloa ramosa / Brachiaria ramosa),M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0013,RedGram,P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0014,Black Gram,H,H,M,H,P,P,P,H,H,H,M,M,M,M,M,H,H,M,H,M,T
CRP0015,Green Gram,H,H,M,H,P,P,H,P,P,H,M,M,M,M,H,P,H,M,H,M,T
CRP0016,Horse Gram,M,M,S,M,M,M,M,P,P,H,H,M,M,P,P,P,M,M,S,M,T
CRP0017,Cowpea,P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0018,Broad Beans (Faba Beans) (Vicia faba),P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0019,Bengal Gram,M,M,M,H,H,H,H,P,P,H,M,M,M,M,M,H,M,M,M,M,T
CRP0020,Lentils (Lens culinaris),P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0021,Cluster Bean,P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0022,Field Bean,P,P,P,P,H,H,H,H,H,H,M,M,M,M,M,M,M,M,M,S,U
CRP0023,Groundnut,H,M,T,P,M,M,M,P,H,M,M,M,H,H,P,P,M,M,M,M,T
CRP0024,Sunflower,M,M,M,H,H,H,H,P,H,M,M,M,M,H,P,H,M,M,M,M,T
CRP0025,Castor,H,H,H,H,P,P,P,H,H,H,M,M,M,S,S,S,M,M,M,S,U
CRP0026,Mustard,H,H,H,H,P,P,P,H,H,H,M,M,M,S,S,S,M,M,M,S,U
CRP0027,Oil Palm,H,H,H,H,P,P,P,H,H,H,M,M,M,S,S,S,M,M,M,S,U
CRP0028,Sesame,H,H,H,H,P,P,P,H,H,H,M,M,M,S,S,S,M,M,M,S,U
CRP0029,Cotton,M,M,M,H,P,P,P,H,M,H,T,T,T,M,M,M,T,T,T,T,T
CRP0030,Sugarcane,P,P,P,M,H,H,H,T,T,T,T,T,T,T,T,T,T,T,T,T,T
CRP0031,Turmeric,M,M,M,M,M,M,M,M,M,M,H,H,M,T,T,T,H,P,H,T,T
CRP0032,Ginger,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0033,Garlic,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0034,Chilli (Commercial),M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0035,Napier Grass,H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0036,Hedge Lucerne (Desmanthus),H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0037,Stylosanthes,H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0038,Spinach,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0039,Amaranth,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0040,Fenugreek,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0041,Lettuce,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0042,Cabbage,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0043,Cauliflower,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0044,Coriander,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0045,Curry leaf,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0046,Gogu,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0047,Drumstick (Moringa),M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0048,Bitter Gourd,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0049,Snake Gourd,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0050,Bottle Gourd,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0051,Ridge Gourd,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0052,Pumpkin,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0053,Watermelon,P,P,P,P,M,M,M,P,H,H,M,M,P,P,U,P,H,H,H,P,T
CRP0054,Beetroot,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0055,Radish,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0056,Carrot,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0057,Muskmelon,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0058,Tomato,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0059,Brinjal,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0060,Chilli,M,M,M,H,P,P,P,M,M,M,T,T,T,M,M,M,T,T,T,T,T
CRP0061,Potato,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0062,Okra,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0063,Onion,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0064,Elephant Yam,P,P,P,H,M,M,M,M,H,H,M,M,S,T,U,T,H,H,H,T,T
CRP0065,Mango,H,H,H,M,M,M,M,M,H,M,M,M,M,T,T,T,P,H,M,H,T
CRP0066,Lemon,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0067,Guava,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0068,Papaya,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0069,Coconut,M,M,M,H,T,T,T,M,M,M,M,M,M,T,T,T,H,M,P,P,T
CRP0070,Cashew,M,M,M,M,T,T,T,M,M,M,P,P,P,M,M,M,P,M,M,H,T
CRP0071,Banana,P,P,P,M,M,M,M,T,T,T,T,T,T,T,T,T,T,T,T,T,T
CRP0072,Jackfruit,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0073,Custard Apple,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0074,Pomegranate,P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0075,Amla (Indian Gooseberry),P,P,P,P,M,M,M,H,H,H,H,H,H,S,S,S,H,H,H,S,T
CRP0076,Areca Nut,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0077,Cocoa,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0078,Coffee,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0079,Tea,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0080,Pepper,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0081,cloves,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0082,Betel Leaf,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0083,Cardamom,M,M,M,S,U,U,U,S,M,M,P,P,H,T,T,T,P,P,P,T,T
CRP0084,Ashwagandha,H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0085,Tulsi (Holy Basil),H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0086,Neem,M,M,S,M,U,U,U,H,H,M,H,M,M,P,P,P,P,P,H,S,T
CRP0087,Vetiver,H,H,H,H,H,H,H,P,P,P,H,H,H,H,H,H,H,H,H,M,M
CRP0088,Marigold(African/French),P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0089,Chrysanthemum,P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0090,Rose,P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0091,Crossandra (Kanakambaram),P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0092,Tuberose (Sugandhiraja),P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0093,Gaillardia (Blanket Flower),P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0094,Cock's Comb (Celosia),P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0095,China Aster,P,P,P,P,M,M,M,H,H,H,M,M,M,U,U,U,H,H,H,U,T
CRP0096,Lotus,H,H,P,M,P,P,P,S,M,P,U,P,P,T,T,T,U,U,P,T,P
CRP0097,Teak,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0098,Neem,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
CRP0099,Pongamia (Kanuga),M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0100,Tamarind,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0101,Indian Rosewood (Sheesham),M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0102,Gliricidia,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0103,Silver Oak (Grevillea),M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0104,Bamboo,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0105,Sesbania,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0106,Calliandra,M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
CRP0107,Vitex (Lagundi),M,M,S,M,U,U,U,H,H,M,H,M,M,M,M,M,P,P,H,S,T
,Millets,H,M,T,P,M,M,M,P,P,H,H,M,P,P,P,H,H,M,H,H,T
,Pulses,H,M,M,H,P,P,H,H,P,H,M,M,M,M,M,H,H,M,H,M,T
,Tobacco,H,M,M,P,H,P,H,M,M,H,T,T,T,M,M,M,T,T,T,T,T
